# Generated by generate_synthetic_pdfs.py
case_id,ref,date,commune,cp,demandeur,entreprise,adresse
C00001,DT-2023-00001,2023-02-21,Saint-Denis,93200,SAS Martin,ABC Travaux,58 rue Victor Hugo
C00002,DT-2023-00002,2026-01-21,Saint-Denis,93200,Mairie,NordCable,109 rue des Lilas
C00003,DT-2023-00003,2024-03-23,Nanterre,92000,Société Durand,NordCable,155 rue des Lilas
C00004,DT-2024-00004,2026-01-21,Boulogne-Billancourt,92100,Entreprise Leroy,ABC Travaux,115 rue Pasteur
C00005,DT-2023-00005,2023-11-23,Montreuil,93100,Entreprise Leroy,InfraSud,72 rue Victor Hugo
C00006,DT-2025-00006,2023-07-29,Paris,75012,Mairie,GeoBat,25 rue de la Paix
C00007,DT-2025-00007,2024-06-25,Ivry-sur-Seine,94200,Mairie,RéseauPro,118 rue Pasteur
C00008,DT-2026-00008,2023-06-11,Nanterre,92000,Agence Voirie,InfraSud,161 rue Pasteur
C00009,DT-2025-00009,2024-01-29,Ivry-sur-Seine,94200,Mairie,XYZ Réseaux,170 rue Victor Hugo
C00010,DT-2025-00010,2023-06-13,Ivry-sur-Seine,94200,Société Durand,XYZ Réseaux,98 rue de la Paix
C00011,DT-2025-00011,2023-11-30,Versailles,78000,SAS Martin,InfraSud,54 rue de la Paix
C00012,DT-2023-00012,2023-12-17,Saint-Denis,93200,Agence Voirie,RéseauPro,63 rue Victor Hugo
C00013,DT-2026-00013,2024-07-06,Versailles,78000,Agence Voirie,ABC Travaux,176 rue de la Paix
C00014,DT-2023-00014,2024-04-14,Ivry-sur-Seine,94200,Mairie,InfraSud,103 rue de la Paix
C00015,DT-2024-00015,2024-10-06,Nanterre,92000,Société Durand,RéseauPro,128 rue Jean Jaurès
C00016,DT-2026-00016,2023-10-20,Saint-Denis,93200,SAS Martin,ABC Travaux,64 rue Pasteur
C00017,DT-2025-00017,2025-05-27,Boulogne-Billancourt,92100,Agence Voirie,GeoBat,93 rue Victor Hugo
C00018,DT-2026-00018,2023-07-06,Paris,75012,Mairie,XYZ Réseaux,40 rue Victor Hugo
C00019,DT-2026-00019,2023-05-11,Ivry-sur-Seine,94200,Entreprise Leroy,GeoBat,153 rue Jean Jaurès
C00020,DT-2025-00020,2023-01-24,Boulogne-Billancourt,92100,Mairie,RéseauPro,138 rue de la Paix
C00021,DT-2025-00021,2023-08-17,Ivry-sur-Seine,94200,SAS Martin,GeoBat,41 rue Jean Jaurès
C00022,DT-2025-00022,2025-10-22,Nanterre,92000,Société Durand,NordCable,28 rue de la Paix
C00023,DT-2024-00023,2023-11-10,Ivry-sur-Seine,94200,SAS Martin,ABC Travaux,139 rue Pasteur
C00024,DT-2025-00024,2025-09-27,Nanterre,92000,Mairie,XYZ Réseaux,93 rue de la Paix
C00025,DT-2023-00025,2024-05-08,Paris,75012,Agence Voirie,XYZ Réseaux,22 rue Jean Jaurès
C00026,DT-2023-00026,2025-12-26,Ivry-sur-Seine,94200,Société Durand,ABC Travaux,169 rue Jean Jaurès
C00027,DT-2024-00027,2024-06-26,Boulogne-Billancourt,92100,Agence Voirie,NordCable,109 rue Victor Hugo
C00028,DT-2024-00028,2024-09-30,Boulogne-Billancourt,92100,Entreprise Leroy,RéseauPro,167 rue de la Paix
C00029,DT-2026-00029,2023-09-05,Versailles,78000,Société Durand,ABC Travaux,17 rue de la Paix
C00030,DT-2024-00030,2024-03-27,Nanterre,92000,Mairie,XYZ Réseaux,182 rue des Lilas
C00031,DT-2023-00031,2023-03-06,Paris,75012,SAS Martin,XYZ Réseaux,132 rue Victor Hugo
C00032,DT-2026-00032,2024-03-14,Montreuil,93100,Agence Voirie,ABC Travaux,186 rue Pasteur
C00033,DT-2026-00033,2024-05-12,Boulogne-Billancourt,92100,Entreprise Leroy,GeoBat,49 rue des Lilas
C00034,DT-2026-00034,2024-12-26,Nanterre,92000,Entreprise Leroy,GeoBat,120 rue des Lilas
C00035,DT-2023-00035,2023-05-05,Saint-Denis,93200,Entreprise Leroy,RéseauPro,87 rue des Lilas
C00036,DT-2024-00036,2024-01-25,Paris,75012,Agence Voirie,GeoBat,36 rue Jean Jaurès
C00037,DT-2025-00037,2025-08-05,Paris,75012,Société Durand,XYZ Réseaux,114 rue Pasteur
C00038,DT-2023-00038,2026-01-12,Nanterre,92000,Mairie,XYZ Réseaux,193 rue Victor Hugo
C00039,DT-2026-00039,2025-09-21,Paris,75012,Entreprise Leroy,ABC Travaux,103 rue des Lilas
