pdf_id,file_name,text,text_len
P00001,P00001.pdf,"DT-DICT
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Document généré automatiquement pour test de traitement documentaire.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Réf.: DT-2026-00029
Adresse chantier: 17 Rue de la Pax
Commune: Versailles
Date de la demande: 2023-09-05
Demandeur: Soyiété DUrand
Entreprise exécutante: ABC TRavaux
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Document généré automatiquement pour test de traitement documentaire.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.",2378
P00002,P00002.pdf,"DT-DICT
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Document généré automatiquement pour test de traitement documentaire.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Réf.: DT-2024-00068
Adresse chantier: 112 rue des Lilas
Commune: Boulogne-Billancourt
Date de la demande: 2024-06-05
Demandeur: Mairie
Entreprise exécutante: RéseauPro
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Document généré automatiquement pour test de traitement documentaire.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.",2443
P00003,P00003.pdf,"DT/DICT
Référence dossier : DT-2024-00028
Commune : BoUlogne-Billancourt
Code postal : 92100
Date : 30-09-24
Demandeur : Entreprise Leroy
Entreprise : géseauPo
Adresse : 167 rue de la Pax
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Document généré automatiquement pour test de traitement documentaire.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.",1029
P00004,P00004.pdf,"DT-DICT
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Réf.: DT-2023-00057
Adresse chantier:
Commune: Boulogne-Billancourt
Date de la demande: 18-08-23
Demandeur: MaIrie
Entreprise exécutante: RéseaUPro
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.",2351
P00005,P00005.pdf,"Déclaration de Travaux
Dossier n° DT-2026-00019
Ville: Ivry-sur-Seine (94200)
Demandeur: EntrePrise Leroy
Société: GeoBat
Fait le 2023-05-11
Lieu: 153 re JeaN Jausès
Document généré automatiquement pour test de traitement documentaire.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Document généré automatiquement pour test de traitement documentaire.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Document généré automatiquement pour test de traitement documentaire.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Document généré automatiquement pour test de traitement documentaire.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.",1239
P00006,P00006.pdf,"Déclaration de Travaux
Dossier n° DT-2025-00067
Ville: Sainz-DenIs (93200)
Demandeur: Agence Voiric
Société: NordCable
Fait le 2025-06-12
Lieu: 30 rue Jean Jaurès
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Document généré automatiquement pour test de traitement documentaire.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.",1380
P00007,P00007.pdf,"DT-DICT
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Réf.: D-2025-00010
Adresse chantier: 98 ue De la Paix
Commune: Ivry-sur-Seine
Date de la demande: 2023-06-13
Demandeur: Société Durand
Entreprise exécutante: XYZ Réseaux
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.",1273
P00008,P00008.pdf,"DT/DICT
Référence dossier : DT-2024-00015
Commune : Nanterre
Code postal : 92000
Date : 06/10/2024
Demandeur : Société Jurand
Entreprise : RéseauPro
Adresse : 128 rue JSan JaKrbS
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Document généré automatiquement pour test de traitement documentaire.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Document généré automatiquement pour test de traitement documentaire.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.",1346
P00009,P00009.pdf,"DT/DICT
Référence dossier : DT-2025-00017
Commune : Boulogne-Billancourt
Code postal : 92100
Date : 2025-05-27
Demandeur : gence Voirie
Entreprise : GeoBat
Adresse : 93 rue Victor Hugo
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Document généré automatiquement pour test de traitement documentaire.",1145
P00010,P00010.pdf,"FORMULAIRE ADMINISTRATIF
Document généré automatiquement pour test de traitement documentaire.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Document généré automatiquement pour test de traitement documentaire.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
---
REF=DT-2026-00039
COMMUNE=Paris
CP=75012
DATE_DEMANDE=21-09-25
DEMANDEUR=
ENTREPRISE=ABC Travaux
ADRESSE=103 rue des Lilas
---
Document généré automatiquement pour test de traitement documentaire.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Le présent document comporte des informations administratives et techniques relatives à l'intervention.
Document généré automatiquement pour test de traitement documentaire.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.
Les coordonnées sont fournies à titre indicatif et peuvent nécessiter une validation.
Document généré automatiquement pour test de traitement documentaire.
Veuillez vérifier la présence éventuelle de réseaux sensibles sur la zone concernée.
Conformément aux dispositions en vigueur, merci de traiter la demande dans les délais réglementaires.",1875
