# Generated by generate_synthetic_pdfs.py
pdf_id,case_id
P00001,C00029
P00002,C00068
P00003,C00028
P00004,C00057
P00005,C00019
P00006,C00067
P00007,C00010
P00008,C00015
P00009,C00017
P00010,C00039
P00011,C00072
P00012,C00078
P00013,C00035
P00014,C00073
P00015,C00066
P00016,C00006
P00017,C00013
P00018,C00066
P00019,C00060
P00020,C00071
P00021,C00049
P00022,C00020
P00023,C00041
P00024,C00064
P00025,C00076
P00026,C00043
P00027,C00027
P00028,C00022
P00029,C00075
P00030,C00015
P00031,C00052
P00032,C00049
P00033,C00017
P00034,C00011
P00035,C00059
P00036,C00004
P00037,C00051
P00038,C00067
P00039,C00046
P00040,C00039
P00041,C00033
P00042,C00006
P00043,C00052
P00044,C00060
P00045,C00010
P00046,C00065
P00047,C00054
P00048,C00018
P00049,C00035
P00050,C00056
P00051,C00023
P00052,C00070
P00053,C00029
P00054,C00040
P00055,C00032
P00056,C00001
P00057,C00036
P00058,C00071
P00059,C00045
P00060,C00010
P00061,C00065
P00062,C00047
P00063,C00009
P00064,C00038
P00065,C00027
P00066,C00065
P00067,C00064
P00068,C00027
P00069,C00056
P00070,C00013
P00071,C00027
P00072,C00009
P00073,C00012
P00074,C00039
P00075,C00007
P00076,C00079
P00077,C00018
P00078,C00045
P00079,C00025
P00080,C00035
P00081,C00076
P00082,C00013
P00083,C00037
P00084,C00027
P00085,C00038
P00086,C00012
P00087,C00046
P00088,C00069
P00089,C00056
P00090,C00056
P00091,C00022
P00092,C00002
P00093,C00024
P00094,C00076
P00095,C00047
P00096,C00006
P00097,C00079
P00098,C00032
P00099,C00003
P00100,C00032
P00101,C00027
P00102,C00036
P00103,C00062
P00104,C00042
P00105,C00028
P00106,C00080
P00107,C00029
P00108,C00068
P00109,C00069
P00110,C00067
P00111,C00073
P00112,C00011
P00113,C00070
P00114,C00069
P00115,C00063
P00116,C00049
P00117,C00024
P00118,C00045
P00119,C00051
P00120,C00009
P00121,C00015
P00122,C00017
P00123,C00040
P00124,C00017
P00125,C00020
P00126,C00070
P00127,C00006
P00128,C00036
P00129,C00050
P00130,C00038
P00131,C00010
P00132,C00046
P00133,C00058
P00134,C00002
P00135,C00065
P00136,C00066
P00137,C00033
P00138,C00001
P00139,C00016
P00140,C00046
P00141,C00017
P00142,C00067
P00143,C00005
P00144,C00018
P00145,C00080
P00146,C00078
P00147,C00030
P00148,C00025
P00149,C00066
P00150,C00072
P00151,C00033
P00152,C00012
P00153,C00055
P00154,C00013
P00155,C00034
P00156,C00052
P00157,C00023
P00158,C00068
P00159,C00008
P00160,C00072
P00161,C00046
P00162,C00028
P00163,C00035
P00164,C00054
P00165,C00078
P00166,C00071
P00167,C00025
P00168,C00030
P00169,C00080
P00170,C00001
P00171,C00068
P00172,C00056
P00173,C00074
P00174,C00004
P00175,C00022
P00176,C00066
P00177,C00076
P00178,C00008
P00179,C00019
P00180,C00016
P00181,C00042
P00182,C00014
P00183,C00054
P00184,C00006
P00185,C00026
P00186,C00035
P00187,C00049
P00188,C00030
P00189,C00013
P00190,C00030
P00191,C00071
P00192,C00036
P00193,C00016
P00194,C00037
P00195,C00022
P00196,C00034
P00197,C00079
P00198,C00003
P00199,C00004
P00200,C00035
